,Longitude,Latitude,PM25,Date
83305,-82.507222,27.290556,9.6,06/18/2022
83624,-82.362583,27.089194,8.4,06/18/2022
83946,-81.310556,28.746111,7.4,06/18/2022
84176,-81.0525,29.206667,9.6,06/18/2022
84488,-84.161111,30.0925000008191,11.4,06/18/2022
84970,-83.5434927764767,32.8052638843599,9.9,06/18/2022
85282,-81.1302223986278,32.0907794615767,10.7,06/18/2022
85597,-83.3443853953649,33.91813699186,7.6,06/18/2022
85890,-83.3443853953649,33.91813699186,7.5,06/18/2022
86559,-84.2905,33.6878000008711,8.7,06/18/2022
86965,-84.0998,31.5776000008422,12.5,06/18/2022
87291,-85.3232,34.2605000008783,4.7,06/18/2022
87686,-84.3573161635597,33.720742384971,8.4,06/18/2022
88041,-84.3914,33.7784000008724,5.6,06/18/2022
88397,-81.4950347836971,31.1698048619361,6.1,06/18/2022
88725,-84.0691,33.9632,6.8,06/18/2022
89043,-83.8134,34.2993000008787,6.6,06/18/2022
89368,-84.1618105696717,33.4339490197359,6.9,06/18/2022
89765,-83.5978,32.6056000008569,9.9,06/18/2022
90162,-83.2933,30.8486000008311,13.3,06/18/2022
90552,-84.9446347567188,32.521272004906,8.8,06/18/2022
91013,-82.0224,33.433900000868,9.2,06/18/2022
91399,-85.2943,34.9784,7.4,06/18/2022
91726,-82.8068706036265,32.9673591607715,12.8,06/18/2022
92108,-116.347853,43.600699,3.3,06/18/2022
92431,-116.214562837,43.647666863,1.4,06/18/2022
92758,-112.460347,42.876725,7.4,06/18/2022
93062,-116.571281045,47.316576569,3.0,06/18/2022
93270,-116.571281045,47.316576569,4.6,06/18/2022
93909,-115.83949967,43.822910411,5.3,06/18/2022
94228,-115.972386,44.104498,3.5,06/18/2022
94557,-116.556656,48.292141,3.5,06/18/2022
94874,-112.04645,43.464700000942,9.6,06/18/2022
95198,-116.562676,43.58031,4.5,06/18/2022
95375,-116.562676,43.58031,2.3,06/18/2022
95786,-111.864167,42.082222,17.6,06/18/2022
96115,-116.116254548,45.931274394,0.7,06/18/2022
96421,-116.0275,46.2094,0.4,06/18/2022
96721,-116.827245,47.715385,0.7,06/18/2022
97044,-116.960176895,46.72182012,-2.0,06/18/2022
97357,-113.890285,45.1818970009432,5.2,06/18/2022
97538,-113.890285,45.1818970009432,5.7,06/18/2022
97866,-116.992533,46.408352,0.8,06/18/2022
98183,-116.8062,46.3972,2.6,06/18/2022
98476,-116.236667,47.536389,2.8,06/18/2022
98657,-116.236667,47.536389,2.2,06/18/2022
99286,-116.1065,44.890197,4.1,06/18/2022
99610,-85.891331718,39.237456874,2.5,06/18/2022
100118,-85.741336506,38.2881908269178,5.8,06/18/2022
100591,-85.96844591,41.657154959937,4.1,06/18/2022
100964,-85.939546219,39.96088418,1.7,06/18/2022
101420,-86.109688135,40.4813468883317,2.7,06/18/2022
101872,-87.304943321,41.6066623240368,1.5,06/18/2022
102451,-87.435561426,41.653500828937,5.0,06/18/2022
102778,-87.495043676,41.5944266019368,4.7,06/18/2022
103101,-87.495043676,41.5944266019368,4.9,06/18/2022
103421,-85.652184,40.1257028009299,3.9,06/18/2022
103895,-86.114444,39.810833000928,4.6,06/18/2022
104820,-86.130879593,39.787933053,6.3,06/18/2022
105220,-86.504761719,39.159383056924,2.5,06/18/2022
105528,-87.199167,41.6175000009369,2.6,06/18/2022
105962,-86.214722,41.6966604109371,4.6,06/18/2022
106355,-86.8525,40.431639,1.4,06/18/2022
106787,-87.577222,38.0133330009157,6.0,06/18/2022
107105,-87.401312,39.4859870009261,5.1,06/18/2022
107422,-87.401312,39.4859870009261,5.5,06/18/2022
107543,-85.6292924,41.169645500935,3.1,06/18/2022
107735,-85.6292924,41.169645500935,4.4,06/18/2022
108215,-88.37251,40.05278,4.5,06/18/2022
108563,-87.7324568962847,41.6709918952829,2.9,06/18/2022
109047,-87.722673,41.912739,4.7,06/18/2022
109228,-87.7134881520007,41.7513999786378,3.6,06/18/2022
109393,-87.7134881520007,41.7513999786378,3.8,06/18/2022
109706,-87.5574060746384,41.5786196210494,3.8,06/18/2022
110350,-87.8632254343829,42.0602846910538,3.3,06/18/2022
110755,-87.7992269168431,42.139996190948,2.9,06/18/2022
111119,-87.7489023825124,41.8644264230095,3.6,06/18/2022
111438,-88.1525336515249,41.7710709444974,4.4,06/18/2022
111765,-88.6249434004072,38.0821551646727,4.6,06/18/2022
112094,-90.344494,39.101439,4.9,06/18/2022
112562,-88.2422073399828,42.221441662101,5.0,06/18/2022
112891,-88.9968957084304,40.5187353721062,4.1,06/18/2022
113220,-88.9968957084304,40.5187353721062,3.9,06/18/2022
113524,-88.925594450544,39.866833885022,3.8,06/18/2022
114020,-90.1396748417377,38.7045342604079,7.8,06/18/2022
114454,-89.5847372162891,40.6970070002047,4.3,06/18/2022
114762,-89.7884586171723,38.1762776056649,5.1,06/18/2022
115085,-90.5173502630811,41.5147269688183,4.3,06/18/2022
115412,-90.1604766324869,38.6120344810656,6.7,06/18/2022
115727,-89.6441635862288,39.8319208689568,5.4,06/18/2022
116054,-88.1164738092357,41.526885089371,4.6,06/18/2022
116375,-88.190967175228,41.2215370677657,4.5,06/18/2022
116704,-89.08917,42.2670002,3.8,06/18/2022
117120,-92.316017,42.5015430009398,3.2,06/18/2022
117422,-92.316017,42.5015430009398,6.3,06/18/2022
117733,-90.2119824210274,41.8232826881747,3.8,06/18/2022
118000,-90.2119824210274,41.8232826881747,5.6,06/18/2022
118326,-90.2119824210274,41.8232826881747,4.8,06/18/2022
118728,-91.503478,41.657232000937,5.5,06/18/2022
118996,-91.503478,41.657232000937,5.1,06/18/2022
119318,-91.503478,41.657232000937,5.2,06/18/2022
119721,-91.68766,41.97677,3.9,06/18/2022
120071,-91.68766,41.97677,4.9,06/18/2022
120394,-91.68766,41.97677,5.2,06/18/2022
120808,-95.044951,40.9691120009341,6.1,06/18/2022
121123,-95.044951,40.9691120009341,7.1,06/18/2022
121439,-91.0679566789336,41.4009679259914,6.3,06/18/2022
121840,-91.068449,41.401459,6.2,06/18/2022
122157,-91.068449,41.401459,5.9,06/18/2022
122633,-94.693518,43.1237040009413,7.0,06/18/2022
122957,-94.693518,43.1237040009413,8.1,06/18/2022
123278,-93.643118,41.6031590009368,6.0,06/18/2022
123624,-93.643118,41.6031590009368,6.3,06/18/2022
123948,-93.643118,41.6031590009368,5.7,06/18/2022
124470,-90.5876108140407,41.5300106207475,3.3,06/18/2022
124779,-90.5876108140407,41.5300106207475,4.3,06/18/2022
125103,-90.5876108140407,41.5300106207475,4.4,06/18/2022
125591,-92.006318,40.695078,5.7,06/18/2022
125900,-92.006318,40.695078,6.4,06/18/2022
126303,-94.746424,38.838575,22.9,06/18/2022
126630,-95.47594,37.67696,28.6,06/18/2022
126959,-97.314847,37.702066,23.0,06/18/2022
127288,-95.711275,39.024265,28.4,06/18/2022
127594,-97.366399,37.47689,25.1,06/18/2022
127906,-99.763424,38.770081,23.0,06/18/2022
128284,-94.635605,39.117219,17.2,06/18/2022
128577,-83.73694,36.60843,6.5,06/18/2022
128903,-82.64041,38.45934,4.7,06/18/2022
129346,-84.47445,39.021881,4.1,06/18/2022
129992,-87.323337,36.91171,4.8,06/18/2022
130320,-87.075307,37.780776,4.5,06/18/2022
130648,-84.49761,38.06503,4.1,06/18/2022
131011,-85.852629,37.705612,4.4,06/18/2022
131335,-85.89804,38.0609100009161,5.3,06/18/2022
131663,-85.65452,38.2287600009174,4.3,06/18/2022
131990,-85.7119,38.1936,5.9,06/18/2022
132318,-85.574361,38.182435,5.5,06/18/2022
132641,-85.82678,38.2315800009174,4.3,06/18/2022
132960,-88.57251,37.05822,5.8,06/18/2022
133287,-83.20932,37.28329,6.2,06/18/2022
133613,-82.53532,37.4826,4.4,06/18/2022
133941,-84.61152,37.09798,4.8,06/18/2022
134265,-86.21487,37.04926,4.4,06/18/2022
134588,-86.21487,37.04926,4.5,06/18/2022
135176,-93.2850842698347,30.2626041187534,14.7,06/18/2022
135561,-91.179219,30.461981,19.2,06/18/2022
135748,-91.179219,30.461981,17.1,06/18/2022
136137,-90.2728258440869,30.0412377293313,13.6,06/18/2022
136462,-92.0429082948787,30.2261097092031,14.1,06/18/2022
136756,-90.765274558,29.764098203,17.5,06/18/2022
137064,-90.8113827241473,30.3154062678331,18.3,06/18/2022
137377,-90.101549844771,29.9935192585394,14.0,06/18/2022
138172,-90.199678,30.4293810008245,12.4,06/18/2022
138642,-91.213556,30.500642,14.9,06/18/2022
138816,-70.214219,44.089406,0.7,06/18/2022
139141,-68.321106,47.355332,0.0,06/18/2022
139516,-68.016195,46.682299,1.5,06/18/2022
139845,-68.033006,46.696431,3.1,06/18/2022
140227,-70.268965,43.660246,1.2,06/18/2022
140545,-68.2609,44.377050000943,2.2,06/18/2022
140969,-70.546319,44.551419,0.4,06/18/2022
141290,-68.772762,44.8173980009432,2.2,06/18/2022
141628,-76.633543,39.460478000926,5.7,06/18/2022
141980,-75.864771,39.702982,4.9,06/18/2022
142296,-76.141006,38.587525,6.1,06/18/2022
142614,-79.012,39.70595,3.1,06/18/2022
