,precipitation,temperature,air pressure,relative humidity,U-wind,V-wind,PM 2.5,longitude,latitude
159,0.0,299.71246,89340.625,9.388954,3.514404,7.2950964,4.35,-115.2702,36.00573
160,0.0,303.25934,92190.625,8.451454,3.5417478,7.284354,5.8,-114.9212,36.03641
161,9.2109375,288.78278,75040.625,62.74052,0.86401355,1.9425576,9.9,-105.4152,36.36197
162,0.0,302.7984,94790.625,43.74833,-1.4895021,4.235526,21.7,-99.08737,36.03714
163,0.9296875,301.9234,98328.125,69.834274,-1.4816896,0.41228414,15.8,-94.58174,35.53716
164,0.0,304.0406,100153.125,70.54521,0.7878417,-1.1033409,11.4,-89.82993,34.75819
165,0.0,302.4859,98790.625,72.63896,2.0895994,-2.0535362,7.3,-85.86475,33.90067
166,0.0234375,301.9156,98178.125,69.59989,2.6403806,-2.9685752,6.9,-84.24663,33.49393
167,0.0,292.6812,84740.625,12.154579,1.1101073,6.2833776,4.1,-115.3091,36.2881
168,0.0,302.9859,92340.625,7.9592667,0.68920887,8.836112,4.9,-114.9585,36.31896
169,0.0078125,302.28278,99403.125,71.68584,-1.1535646,1.019706,18.950000000000003,-95.90836,35.995
170,1.0859375,301.4781,97128.125,71.63115,-1.0617677,1.3605263,17.5,-94.52391,35.81684
171,0.0,304.57965,100453.125,70.73271,0.5397948,-1.0330284,10.8,-90.08799,35.09749
172,0.0,303.64215,100153.125,73.271774,0.53588855,-1.0349815,9.6,-89.75132,35.03345
173,0.0,302.47028,99353.125,73.803024,0.70288074,-1.6726768,7.3,-87.08445,34.47755
174,0.0078125,301.50934,98190.625,71.93584,1.949951,-3.607247,7.0,-84.46844,33.84621
175,0.0078125,301.50934,98253.125,71.93584,2.3571775,-3.0379112,8.7,-84.14526,33.76214
176,0.0,295.56403,100053.125,26.451454,2.9538572,-1.8963096,3.6,-119.5429,36.09563
177,0.0,296.0484,99640.625,24.974892,2.9460447,-1.9050987,5.3,-119.196,36.14241
